																										
ETAT CONSOS ET FACTURATIONS EAU SUR BP 2025 (SAUR)																										
																										
REFERENCE PDL	N° CLIENT	AFFECTATION	ADRESSE DU PDL  (REFERENCE VILLE DE CROSNE)	ADRESSE DU PDL (REFERENCE SAUR)	1ER SEMESTRE 2025										2EME SEMESTRE 2025										
					Période de consos	Période d'abonnement	Consos en m3	Montant total en € TTC	DATE FACTURE	N° DE FACTURE	FOURNISSEUR	ETAT FACTURE / AVOIR	EXERCICE BUDGETAIRE	OBS.	Période de consos	Période d'abonnement	Consos en m3	Montant total en € TTC	DATE FACTURE	N° DE FACTURE	FOURNISSEUR	ETAT FACTURE / AVOIR	EXERCICE BUDGETAIRE	OBS.	
H19VA201695	98-7886111853	BÂTIMENT	BÂTIMENT SYNDICAT ET FNACA - 31, AV. JEAN JAURES	31 AVENUE JEAN JAURES POSTE DE POLICE MUNICIPALE	1er sem.2025	Année 2025	0.0	10.67	14-janv.-2025	161251638109	SAUR	mandatée le 20/03/25	2025.0	part. SAUR (aucune consommation enregistrée)	1er semestre	2ème semestre	2.0	20.84	18-juil.-2025	16125179727	SAUR	mandatée le 13/8/25	2025.0		
C11LA289685	98-1088208481	BÂTIMENT	AMICALE LAÏQUE (ANCIENNEMENT CROIX ROUGE) - 8, RUE A. FOUDRIER	8 RUE ALEXANDRE FOUDRIER CLUB PHOTO AMICALE LAIQUE	1er sem.2025	Année 2025	0.0	10.67	14-janv.-2025	161251638099	SAUR	mandatée le 20/03/25	2025.0	part. SAUR (aucune consommation enregistrée)	1er semestre	2ème semestre	1.0	15.76	18-juil.-2025	161251719722	SAUR	mandatée le 13/8/25	2025.0		
H19VA201539	98-6036027075	BÂTIMENT	BAINS DOUCHES ET ESPACE RENE FALLET - 29 TER, AV. J. JAURES	31 AVENUE JEAN JAURES BAINS DOUCHES	1er sem.2025	Année 2025	0.0	10.67	14-janv.-2025	161251638061	SAUR	mandatée le 20/03/26	2025.0	part. SAUR (aucune consommation enregistrée)	1er semestre	2ème semestre	145.0	747.78	18-juil.-2025	161251719712	SAUR	mandatée le 13/8/25	2025.0		
C18SB078078	98-2468097228	BÂTIMENT	POLICE MUNICIPALE - 33 BIS, AV. J. JAURES	33 BIS RUE JEAN JAURES	1er sem.2025	Année 2025	0.0	54.02	23-janv.-2025	161251648885	SAUR	mandatée le 6/3/25	2025.0	part. SAUR (aucune consommation enregistrée)											
D20BA126269	98-2685548103	BÂTIMENT	MAIRIE (GUICHET UNIQUE) - 35, AV. J. JAURES	35 AVENUE JEAN JAURES	1e sem.2025	Année 2025	0.0	10.67	14-janv.-2025	161251638180	SAUR	mandatée le 6/3/25	2025.0	part. SAUR (aucune consommation enregistrée)	1er semestre	2ème semestre	112.0	579.98	18-juil.-2025	16125179740	SAUR	mandatée le 14/8/25	2025.0		
C13LA413430	98-6291864853	BÂTIMENT	MAISON DES ASSOCIATIONS 1901 ET MAISON DES JEUNES - 28, RUE COLBERT	28 RUE COLBERT SERVICE TECHNIQUE											1er semestre	2ème semestre	1086.0	5530.99	18-juil.-2025	16125179719	SAUR	rapprochée mais pas mandatée			
C20FE000777	98-5042184611	BÂTIMENT	SERVICES TECHNIQUES - 13/15, RUE DES INVESTISSEURS	13 RUE DES BATISSEURS RUE DES INVESTISSEURS	1er sem.2025	Année 2025	0.0	403.28	14-janv.-2025	161251638156	SAUR	mandatée le 20/03/25	2025.0	part. SAUR (aucune consommation enregistrée)	1er semestre	2ème semestre	413.0	2502.62	18-juil.-2025	161251719735	SAUR	mandatée le 11/8/25	2025.0		
C12LA284980	98-8729053769	BÂTIMENT	ANCIENNEMENT RESTOS DU CŒUR - 3, RUE A. FOUDRIER	10 RUE EUGENE ESNAULT PELTERIE	1er sem.2025	Année 2025	0.0	5.62	14-janv.-2025	161251638183	SAUR	mandatée le 6/3/25	2025.0	part. SAUR (aucune consommation enregistrée)	1er semestre	2ème semestre	1.0	15.76	18-juil.-2025	161251719742	SAUR	mandatée le 14/8/25	2025.0		
C11LA289689	98-7497055393	BÂTIMENT	ANCIENNEMENT SERVICE SCOLAIRE - JEUNESSE - CITOYENNETE - 8/10, RUE RYMAROV	8 RUE ALEXANDRE FOUDRIER SERVICE SCOLAIRE	1er sem.2025	Année 2025	0.0	10.67	14-janv.-2025	161251638071	SAUR	mandatée le 20/03/25	2025.0	part. SAUR (aucune consommation enregistrée)		2ème semestre	0.0	10.67	18-juil.-2025	161251719717	SAUR	mandatée le 13/8/25	2025.0		
