;Tableau synthetique  de Depenses par service;;;;;;;;
;Charges / Service ;Nature comptable;Restauration;Acceuil de Loisirs;Acceuil périscolaire;Etudes surveillés;Espace Ados;Séjours;Total
Alimentation ;Prestataire SCOLAREST;6042;713 752,47;27 471,64;0;0;0;0;741 224,11 €
;Alimentation;60623;1 451,91;35 623,06;5 810,47;0;59,24;355,46;43 300,14 €
Fluides;Eau;60611;8 159,00;26 601,98;18 594,03;0;3 499,27;0;56 854,28 €
;Gaz;60618;8 159,00;0;16 186,50;0;426,00;0;24 771,50 €
;Electricité;60612;30 563,49;16 884,23;20 288,40;0;10 918,98;0;78 655,10 €
Materiel et fournitures;Matériel ;21841;0;2 177,47;0;0,00;0,00;83,79;2 261,26 €
;Fournitures;6068;0;14 790,91;0,00;0;1 265,87;298,96;16 355,74 €
;Petit matériel;60632;0;0;0;0;467,86;0;467,86 €
;Materiel sportif;28282;0;478,61;0;0;0;0;478,61 €
Sorties;Activités , ateliers;6238;0;4 889,70;0;0;0;0;4 889,70 €
;Droits d'entrée ;6247;0;18 846,27;0;00:00;0,00;0;18 846,27 €
Transport;Carburant;60622;0;14 552,99;0;0;4 016,42;45 304,83;63 874,24 €
;Location de bus;61351;0;0;0;0;;;
;Amendes;6274;0;0;0;0;;;
;Parking, peage;6247;0;0;0;0;;;
Hebergement;Hebergement ;652;0;0;0;0;0;60 769,94;60 769,94 €
Personnel;Personnel ;6411;1 051 019,64;1 428 849,37;597 977,38;58 598,14;119 794,89;0,00;3 256 239,42 €
Autres ;Autres;65318;0;4 949,91;0;0;327,01;314,73;5 591,65 €
Total;;;1 813 105,51 €;1 596 116,14 €;658 856,78 €;58 598,14 €;140 775,54 €;107 127,71 €;4 374 579,82 €
Nombre d'enfants;;;1128;272;2312;;;;
Nombre annuel;;;157920;;;;;;
Cout par unité d'œuvre;;;11,48 €;5 868,07 €;284,97 €;;;;
;;;;;;;;;
;Tableau synthetique des recettes par service;;;;;;;;
Tranches  ;;Restauration;;;;;;;
;;Nomre d'enfants;Tarif repas;Acceuil de Loisirs;Acceuil périscolaire;Etudes surveillés;Espace Ados;Séjours;Total
EXT;;11;5,54 €;14,96 €;4,48 €;16,12 €;8,19 €;70,00 €;1 312,19
Plus de 18 000€;A;429;5,13 €;13,86 €;4,17 €;14,49 €;6,94 €;56,00 €;43 151,11
15 000 à 17 999 €;B;90;4,53 €;12,26 €;3,66 €;13,02 €;7,01 €;49,00 €;8 052,30
13 000€ à 14 999 €;B2;90;4,00 €;10,40 €;3,14 €;11,69 €;5,57 €;42,00 €;6 912,00
11 000€ à 12 999 €;C;79;3,86 €;10,40 €;3,14 €;11,69 €;5,57 €;42,00 €;6 056,14
9 000 à 10 999 €;D;79;3,25 €;8,79 €;2,64 €;10,50 €;4,10 €;35,00 €;5 077,20
7 000€ à 8 999 €;E;90;2,70 €;7,33 €;2,20 €;9,43 €;3,26 €;28,00 €;4 762,05
5 000€ à 6 999 €;F;79;2,00 €;5,41 €;1,62 €;8,42 €;2,45 €;21,00 €;3 231,23
3 000€ à 4 999 €;F2;57;1,45 €;5,41 €;1,62 €;8,42 €;2,45 €;21,00 €;2 300,05
Moins de 3 000 €;G;124;1,32 €;4,10 €;1,07 €;7,50 €;1,64 €;14,00 €;3 672,88
             CAF < 1000€;;;1,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00
Total;;1128;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
