Restauration - Données pole enfance;;;;;;;;;;;;;;
Tranches;;Px repas facturé;Nombre d'enfants;cout moyen de repas;DEPENSE ann. en repas;RECETTE ann. en repas;Ecarts;Taux de couverture;;;;;;
;;;;;;;;;;;;;;
EXT;;5,54 €;11;4,42 €;6 806,80 €;8 531,60 €;1 724,80 €;125,34 %;;;;;;
Plus de 18 000€;A;5,13 €;429;4,42 €;265 465,20 €;308 107,80 €;42 642,60 €;116,06 %;;;;;;
15 000 à 17 999 €;B;4,53 €;90;4,42 €;55 692,00 €;57 078,00 €;1 386,00 €;102,49 %;;;;;;
13 000€ à 14 999 €;B2;4,00 €;90;4,42 €;55 692,00 €;50 400,00 €;-5 292,00 €;90,50 %;;;;;;
11 000€ à 12 999 €;C;3,86 €;79;4,42 €;48 885,20 €;42 691,60 €;-6 193,60 €;87,33 %;;;;;;
9 000 à 10 999 €;D;3,25 €;79;4,42 €;48 885,20 €;35 945,00 €;-12 940,20 €;73,53 %;;;;;;
7 000€ à 8 999 €;E;2,70 €;90;4,42 €;55 692,00 €;34 020,00 €;-21 672,00 €;61,09 %;;;;;;
5 000€ à 6 999 €;F;2,00 €;79;4,42 €;48 885,20 €;22 120,00 €;-26 765,20 €;45,25 %;;;;;;
3 000€ à 4 999 €;F2;1,45 €;57;4,42 €;35 271,60 €;11 571,00 €;-23 700,60 €;32,81 %;;;;;;
Moins de 3 000 €;G;1,32 €;124;4,42 €;76 731,20 €;22 915,20 €;-53 816,00 €;29,86 %;;;;;;
Total;;;1128;;698 006,40 €;593 380,20 €;-104 626,20 €;85,01 %;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
RESTAURATION;Depenses reelles;;;;;;;TOTAL;;;;;;
;DEP. SCOLAREST 2025;;PERSONNEL;Mat et equip;FLUIDES;;;;;;;;;
;Elements;Montant;Charges;Depenses alimentation;Eau;Electricité;Gaz;;;;;;;
;"""vide""";555 834,84;0;0;0;0;0;555 834,84;;;;;;
;RESTCOMM;106 439,01;0;7 464,25;0;0;0;113 903,26;;;;;;
